id,image,name,price,notes,brew,description
coffee-1,assets/images/coffee/ethiopia-yirgacheffe.webp,Ethiopia Yirgacheffe,5.90,"Citrus, jasmine, light sweetness","Pour-over, Chemex, Aeropress","A bright single-origin coffee from Ethiopia known for its floral aroma and clean finish."
coffee-2,assets/images/coffee/colombia-supremo.webp,Colombia Supremo,4.80,"Chocolate, nutty, balanced","Drip, French press","A smooth and well-balanced coffee with rich chocolate notes from Colombia."
coffee-3,assets/images/coffee/guatemala-antigua.webp,Guatemala Antigua,5.20,"Caramel, cocoa, mild spice","Pour-over, French press","A medium-bodied coffee grown in volcanic soil, offering a sweet and complex flavor."
coffee-4,assets/images/coffee/brazil-santos.webp,Brazil Santos,4.50,"Nutty, low acidity, smooth","Espresso, Moka pot","A classic Brazilian coffee with a smooth body and gentle sweetness."
coffee-5,assets/images/coffee/kenya-aa.webp,Kenya AA,6.20,"Berry, wine-like acidity","Pour-over, Aeropress","A vibrant Kenyan coffee featuring bold acidity and juicy fruit notes."
coffee-6,assets/images/coffee/house-blend.webp,The House Blend,4.90,"Chocolate, caramel, smooth","Espresso, Drip","Our signature blend crafted for everyday drinking with a rich and comforting profile."
coffee-7,assets/images/coffee/panama-geisha.webp,Panama Geisha,12.50,"Jasmine, bergamot, tropical fruit","Pour-over, Siphon","A luxurious, high-altitude coffee with floral complexity and a silky body, often winning top auction prices."
coffee-8,assets/images/coffee/hawaii-kona.webp,Hawaii Kona,10.90,"Caramel, nutty, smooth","Drip, French press","Grown on volcanic slopes, this rare coffee offers a rich, luscious cup with a sweet, clean finish."
coffee-9,assets/images/coffee/jamaica-blue-mountain.webp,Jamaica Blue Mountain,9.80,"Chocolate, mild acidity, balanced","Espresso, Drip","A premium Caribbean coffee known for its silky mouthfeel and sweet, nuanced profile."
coffee-10,assets/images/coffee/rwanda-red-bourbon.webp,Rwanda Red Bourbon,5.50,"Red apple, caramel, bright","Pour-over, Chemex","A clean, sweet single-origin with vibrant fruit notes, supporting sustainable farming communities."
coffee-11,assets/images/coffee/sumatra-mandheling.webp,Sumatra Mandheling,6.10,"Earthy, spicy, full-bodied","French press, Espresso","A bold, low-acidity coffee with a syrupy body, perfect for those who enjoy deep, rich flavors."
coffee-12,assets/images/coffee/bali-kintamani.webp,Bali Kintamani,5.70,"Apricot, dark chocolate, winey","Espresso, Moka pot","A distinctive Indonesian Arabica with sweet dried fruit notes and a smooth, bold finish."   